postes;villes;niveau;salaire
Conducteur de travaux;Casablanca;Bac+3;A discuter
Directeur de production;Had Soualem;Bac+5;A discuter
Secretaire -assistante;Casablanca;Bac+3;A discuter
Agent de surveillance et  gardiennage;Casablanca;Niveau Bac;A discuter
Chef de cuisine;Had Soualem;Bac+2;A discuter
Technicien agronome;Had Soualem;Bac+2;A discuter
receptionnistes /agent de reservation/cuisiniers;Meknès;Bac+2;A discuter
Responsable projets et travaux neufs;Casablanca;Bac+5;A discuter
Comptable - comptabilité française;Tanger;Bac+3;A discuter
Assistante commerciale/mohammedia;Mohammedia;Bac+2;A discuter
Technicien étude et suivi des travaux de vrd;Taroudant;Bac+2;A discuter
Agent qualité en imprimerie;Bouskoura;Bac+2;A discuter
Stage pré-embauche en marketing digital;Casablanca;Bac+3;A discuter
Administration des ventes / sav;Mohammedia;Bac+5;A discuter
Assistante import export  /mohammedia;Mohammedia;Bac+2;A discuter
Planificateur approvisionneur;Casablanca;Pas important;6 000 - 8 000 dh
Metreure +5 experience;Marrakech;Bac+3;A discuter
